,1,2,3
328,14.4,12.6,11.9
329,8.2,9.3,6.6
331,25.1,22.2,18.3
332,20.8,16.5,14.8
333,15.6,14.8,14.7
334,10.2,11.5,9.2
336,24.7,21.8,18.0
337,20.4,16.2,14.5
338,15.6,14.7,14.5
339,10.3,11.5,9.2
341,20.9,17.6,13.3
342,16.2,11.6,9.7
343,11.3,9.8,9.1
344,5.6,6.6,4.3
346,15.7,12.9,9.1
347,11.7,7.9,5.7
348,7.9,5.9,4.8
349,2.3,2.8,0.2
351,9.7,7.3,4.1
352,6.9,3.4,1.1
353,4.0,1.9,0.4
354,-1.8,-1.4,-4.2
356,5.9,4.1,1.3
357,4.1,1.0,-1.5
358,1.4,-0.7,-2.0
359,-4.4,-4.0,-6.8
361,5.8,4.0,0.9
362,3.1,-0.4,-2.7
363,-0.6,-2.5,-3.9
364,-7.1,-6.4,-9.4
366,4.4,2.0,-1.8
367,1.1,-3.1,-5.5
368,-3.4,-5.0,-6.2
369,-9.9,-9.0,-11.9
371,8.2,5.5,1.6
372,4.4,0.2,-2.0
373,-0.1,-1.7,-2.5
374,-6.1,-5.1,-7.9
376,14.8,11.7,7.5
377,10.8,6.4,4.0
378,6.4,4.6,3.9
379,0.2,1.2,-1.5
381,18.8,15.6,10.8
382,14.3,9.3,6.6
383,9.2,7.1,5.9
384,2.5,3.5,0.4
386,23.0,19.4,14.6
387,17.9,12.9,10.6
388,12.6,10.8,10.0
389,6.1,7.3,4.7
391,25.1,22.2,18.3
392,20.6,16.2,14.7
393,15.4,14.6,14.5
394,10.0,11.3,9.0
396,23.6,20.7,16.9
397,19.6,15.2,13.5
398,14.8,13.9,13.7
399,9.6,10.9,8.7
401,21.3,18.1,13.8
402,16.4,12.1,10.2
403,11.4,9.9,9.1
404,5.7,6.6,4.3
406,15.0,12.3,8.5
407,10.6,7.1,5.0
408,6.7,4.8,3.5
409,0.6,1.3,-1.2
411,8.9,6.6,3.5
412,6.0,2.5,0.5
413,3.0,0.8,-0.7
414,-2.8,-2.3,-5.1
416,3.8,2.0,-0.8
417,2.1,-1.2,-3.6
418,-1.0,-3.1,-4.4
419,-6.7,-6.5,-9.3
421,4.6,2.7,-0.5
422,2.2,-1.4,-3.6
423,-1.3,-3.2,-4.5
424,-7.7,-7.0,-10.0
426,6.1,3.8,0.1
427,2.6,-1.5,-3.8
428,-2.1,-3.8,-5.1
429,-8.7,-7.9,-10.8
431,10.6,7.9,4.2
432,6.3,2.4,0.4
433,1.8,0.2,-0.8
434,-5.1,-4.0,-6.6
436,16.5,13.6,9.5
437,12.1,7.9,5.6
438,7.5,5.8,5.0
439,0.9,1.9,-0.6
441,20.2,16.9,12.1
442,15.7,10.7,8.0
443,10.7,8.6,7.4
444,3.8,4.8,1.9
446,24.7,21.1,16.3
447,19.6,14.6,12.4
448,14.3,12.6,11.7
449,7.9,8.9,6.3
451,24.8,21.8,17.9
452,20.7,16.2,14.5
453,16.0,15.0,15.0
454,10.8,12.0,9.7
456,23.2,20.2,16.4
457,19.1,14.9,13.1
458,14.4,13.4,13.3
459,9.1,10.3,8.2
461,20.4,17.1,12.8
462,15.7,11.3,9.3
463,11.0,9.5,8.9
464,5.4,6.4,4.1
466,14.0,11.2,7.5
467,9.8,6.2,4.1
468,6.0,4.1,2.9
469,-0.2,0.6,-1.9
471,8.3,5.9,2.6
472,5.9,2.2,-0.2
473,3.1,0.9,-0.5
474,-2.7,-2.3,-5.1
476,3.9,2.1,-0.8
477,2.2,-1.1,-3.5
478,-0.6,-2.6,-3.8
479,-6.3,-5.9,-8.6
481,2.3,0.3,-2.9
482,-0.7,-4.0,-6.3
483,-4.1,-6.1,-7.3
484,-10.7,-10.0,-12.8
486,4.3,1.8,-2.0
487,1.2,-3.2,-5.6
488,-3.1,-4.9,-6.0
489,-9.5,-8.7,-11.5
491,10.9,8.2,4.4
492,7.1,3.0,0.9
493,2.7,1.1,0.5
494,-3.6,-2.4,-5.1
496,15.8,12.8,8.4
497,11.9,7.5,5.1
498,7.7,5.8,5.1
499,1.6,2.6,-0.3
501,20.3,17.0,12.1
502,16.0,10.9,8.3
503,11.0,9.0,7.8
504,4.3,5.3,2.3
506,24.2,20.4,15.5
507,19.4,14.2,11.8
508,14.2,12.4,11.7
509,7.9,8.9,6.0
511,23.7,20.8,16.9
512,19.6,15.2,13.5
513,14.7,13.8,13.6
514,9.2,10.7,8.3
516,24.2,21.2,17.3
517,20.2,15.9,14.2
518,15.2,14.5,14.4
519,10.0,11.3,9.4
521,20.0,16.8,12.5
522,15.5,11.1,9.1
523,10.8,9.3,8.6
524,4.9,5.8,3.8
526,14.8,12.0,8.1
527,11.0,7.1,4.9
528,7.0,5.3,4.3
529,1.2,1.9,-0.5
