DATE,AVG MAX TEMPERATURE
348,12.2
348,6.5
348,2.6
348,-2.466666667
349,10.66666667
349,4.6
349,0.933333333
349,-4.533333333
350,13.1
350,6.733333333
350,3.333333333
350,-2.166666667
351,20.03333333
351,13.63333333
351,10.36666667
351,5.1
352,24.23333333
352,17.6
352,14.36666667
352,9.233333333
353,30.5
353,23.56666667
353,20.23333333
353,15
354,32.93333333
354,26.9
354,23.96666667
354,19.03333333
355,30.93333333
355,26.56666667
355,24.8
355,21.2
356,30.2
356,25.96666667
356,24.03333333
356,20.66666667
357,29.26666667
357,23.9
357,21.4
357,17.03333333
358,26.56666667
358,20.96666667
358,18.06666667
358,13.13333333
359,20.63333333
359,15.43333333
359,12.86666667
359,8.233333333
360,14.73333333
360,9.366666667
360,6.033333333
360,1.033333333
361,13.86666667
361,8.233333333
361,4.966666667
361,-0.3
362,12.03333333
362,5.7
362,2.266666667
362,-3.5
363,19.8
363,13.7
363,10.66666667
363,5.566666667
364,27.06666667
364,20.46666667
364,17.43333333
364,12.16666667
365,29.83333333
365,22.8
365,19.13333333
365,13.53333333
366,32.8
366,26.56666667
366,23.26666667
366,18.06666667
367,29.93333333
367,25.16666667
367,23.06666667
367,19.46666667
368,30.83333333
368,26.33333333
368,24.66666667
368,21.13333333
369,29.7
369,24.76666667
369,22.7
369,18.9
370,27.5
370,21.93333333
370,19.26666667
370,14.46666667
371,19.86666667
371,14.3
371,11.33333333
371,6.033333333
372,14.86666667
372,9.566666667
372,6.3
372,1.366666667
373,14.03333333
373,8.166666667
373,4.833333333
373,-0.6
374,13.73333333
374,7.7
374,4.2
374,-0.933333333
375,20.46666667
375,14.36666667
375,11.3
375,6.333333333
376,26.83333333
376,20.33333333
376,17.4
376,12.5
377,29.5
377,22.5
377,19.16666667
377,13.63333333
378,34.06666667
378,27.8
378,24.66666667
378,19.4
379,32.03333333
379,27.53333333
379,25.66666667
379,22
380,29.63333333
380,25.23333333
380,23.4
380,19.8
381,30.3
381,25.33333333
381,23.03333333
381,18.93333333
382,26.33333333
382,20.6
382,17.7
382,12.83333333
383,20.53333333
383,15.1
383,12.06666667
383,6.833333333
384,14.2
384,9.033333333
384,5.566666667
384,0.4
385,10.43333333
385,4.866666667
385,1.4
385,-4.166666667
386,15.13333333
386,9.066666667
386,5.933333333
386,0.7
387,19.43333333
387,13.26666667
387,9.933333333
387,4.333333333
388,23.56666667
388,16.96666667
388,14.03333333
388,9.133333333
389,30.46666667
389,23.56666667
389,20.63333333
389,15.43333333
390,34.06666667
390,27.93333333
390,25.03333333
390,19.93333333
391,31.6
391,27.2
391,25.56666667
391,22.16666667
392,28.66666667
392,24.23333333
392,23.03333333
392,19.8
393,28.53333333
393,23.56666667
393,21.36666667
393,17.53333333
394,26.63333333
394,21.06666667
394,18.43333333
394,13.7
395,21
395,15.63333333
395,12.83333333
395,7.866666667
396,15.93333333
396,10.63333333
396,7.533333333
396,2.466666667
397,10.56666667
397,4.933333333
397,1.266666667
397,-4.1
398,17.2
398,11.1
398,7.933333333
398,2.633333333
399,19.16666667
399,13.1
399,10.1
399,5.133333333
400,25.66666667
400,18.96666667
400,15.76666667
400,10.4
401,28.66666667
401,21.53333333
401,17.8
401,12.13333333
402,33.43333333
402,27.16666667
402,24.1
402,18.86666667
403,31.13333333
403,26.5
403,24.53333333
403,20.83333333
404,30.06666667
404,25.7
404,24.06666667
404,20.76666667
405,30.26666667
405,25.26666667
405,22.56666667
405,18.26666667
406,26.16666667
406,20.53333333
406,17.76666667
406,12.86666667
407,20.46666667
407,15.1
407,12.06666667
407,6.7
408,15.9
408,10.7
408,7.533333333
408,2.833333333
409,10.76666667
409,5.1
409,1.733333333
409,-3.6
410,14.93333333
410,8.866666667
410,5.966666667
410,0.933333333
411,20.1
411,14.1
411,11
411,5.866666667
412,22.1
412,15.4
412,12.46666667
412,7.433333333
413,30.43333333
413,23.43333333
413,20
413,14.53333333
414,33.33333333
414,27.1
414,24.13333333
414,18.4
415,31.23333333
415,26.56666667
415,24.7
415,21.06666667
416,29.66666667
416,25.23333333
416,23.73333333
416,20.46666667
417,29.6
417,24.6
417,22.33333333
417,18.26666667
418,25.96666667
418,20.33333333
418,17.7
418,13
419,20.83333333
419,15.36666667
419,12.3
419,6.866666667
420,14.76666667
420,9.6
420,6.466666667
420,1.533333333
421,11.76666667
421,6.133333333
421,3.033333333
421,-2.1
422,15.5
422,9.6
422,6.766666667
422,1.766666667
423,18.33333333
423,12.13333333
423,8.833333333
423,3.6
424,24.9
424,18.26666667
424,15.2
424,10
425,33.8
425,26.83333333
425,23.4
425,17.9
426,33.13333333
426,27.1
426,24.5
426,19.46666667
427,30.93333333
427,26.3
427,24.56666667
427,20.9
428,30.2
428,25.76666667
428,24.06666667
428,20.4
429,29.96666667
429,25.06666667
429,23.16666667
429,19.23333333
430,27.26666667
430,21.66666667
430,19.26666667
430,14.6
431,20
431,14.6
431,11.83333333
431,7
432,14.16666667
432,8.866666667
432,5.733333333
432,0.866666667
433,11.76666667
433,5.833333333
433,2.133333333
433,-3.033333333
434,14.76666667
434,8.666666667
434,5.666666667
434,0.566666667
435,18.76666667
435,12.5
435,9.1
435,4.1
436,24.13333333
436,17.46666667
436,14.23333333
436,9
437,30.76666667
437,23.8
437,20.36666667
437,14.96666667
438,34.4
438,28.1
438,25.03333333
438,19.86666667
439,30.66666667
439,26
439,24.2
439,20.6
440,30.9
440,26.46666667
440,24.7
440,21.13333333
